Seal_Strength   sealtemp     coolingtemp    polyethylene
          6.6          225             46          0.5
          6.9          285             46          0.5
          7.9          225             64          0.5
          6.1          285             64          0.5
          9.2          225             46          1.7
          6.8          285             46          1.7
         10.4          225             64          1.7
          7.3          285             64          1.7
          9.8        204.5             55          1.1
            5        305.5             55          1.1
          6.9          255           39.9          1.1
          6.3          255           70.1          1.1
            4          255             55         0.09
          8.6          255             55         2.11
         10.1          255             55          1.1
          9.9          255             55          1.1
         12.2          255             55          1.1
          9.7          255             55          1.1
          9.7          255             55          1.1
          9.6          255             55          1.1
