             mdbh    age     hd      n
               7      19    51.5     500
               5      14    41.3     900
             6.2      11    36.7     650
             5.2      13    32.2     480
             6.2      13      39     520
             5.2      12   29.87     610
             6.2      18    51.2     700
             6.4      14    46.8     760
             6.4      20    61.8     930
             6.4      17    55.8     690
             5.4      13    37.3     800
             6.4      21    54.2     650
             5.4      11    32.5     530
             6.7      19    56.3     680
             6.7      17    52.8     620
             5.9      15      47     900
             6.9      16      53     620
             6.9      16    50.3     730
             6.9      14    50.5     680
             7.9      22    57.7     480
